hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_2957,0.0775053809658325,0.00593989027902622,3.70578828876089,1.44037340525379e-57,None
herv_738,0.0604248451534773,0.00464038241573034,3.70282626247445,1.46353990196662e-152,None
herv_4261,0.0014706877638449,0.000113066400749064,3.70124880471234,4.04304587107157e-29,None
herv_5189,0.00933821316370378,0.00072636493071161,3.68438006607125,1.75061837209042e-69,None
herv_1665,0.0445675364813733,0.0034837930917603,3.67726236908411,1.01830584956225e-154,None
herv_1097,0.0299743654637412,0.00234479960299625,3.67619267913576,8.91182397346549e-155,None
herv_1758,0.0406279823304003,0.00319334539325843,3.66933321031275,6.93528596450127e-75,None
herv_1973,0.0433133996094824,0.00340626019101124,3.66855286579004,1.59484323694423e-89,None
herv_4634,0.110515977146941,0.00872369040262172,3.66317257226318,8.67070427222378e-263,None
herv_4560,0.00940371004938905,0.000743853817602996,3.66013902074035,5.83221760799314e-73,None
herv_4307,0.0417558613000175,0.0033061188071161,3.65876824925418,2.03007412487969e-87,None
herv_1117,0.0829489486853198,0.00657103769475655,3.65803057295699,4.1378796719312e-85,None
herv_6275,0.0777686076617338,0.00619338979588015,3.65038675606956,0,None
herv_4194,0.0769815659523233,0.00614029361488764,3.64813346986832,8.64271733029968e-123,None
herv_4159,0.204132612279486,0.0163264577789513,3.6442229661693,0,None
herv_6024,0.0455253842351471,0.00364231094194757,3.6437451989145,1.11524292469951e-92,None
herv_2820,0.00100820474013416,8.07311797752809e-05,3.64251885730704,8.31694284854593e-13,None
herv_3151,0.0383649486404371,0.00307510946254682,3.64107915245364,1.08165686808985e-81,None
herv_3892,0.0518203688102853,0.00415899802996255,3.63921137662642,1.32863982617048e-72,None
herv_4784,0.155303624642506,0.0125312008220974,3.6314949263557,9.26885582849164e-306,None
herv_4594,0.290227045569815,0.0235325652546816,3.62445146641861,5.32095231276873e-70,None
herv_3109,0.0650793625263554,0.0052795503093633,3.62371316238017,2.38908061109731e-58,None
herv_6174,0.0838892389231431,0.00681381472728277,3.62195113252721,2.49109686819145e-84,None
herv_4052,0.0132757060517681,0.00108322939325843,3.615377894024,2.11298789118276e-100,None
herv_2782,0.00724379201215035,0.000592692812734082,3.61138865546752,5.39458482838637e-28,None
herv_2358,0.0926177641479421,0.00759012129082772,3.60909408454566,4.48884957799926e-96,None
herv_2440,0.0577762178448637,0.0047396260093633,3.60763063538666,2.11137104024802e-96,None
herv_5021,0.0065783403500593,0.000544397619850187,3.59499098784483,1.60354711035201e-39,None
herv_4533,0.0254580211658348,0.00211501229666667,3.58938232762054,1.81954794859997e-152,None
herv_2452,0.0281670735362057,0.00234176357677903,3.58834234578734,1.11218155487248e-165,None
herv_5943,0.0433757532121765,0.00361556252734082,3.58459677857092,5.03242903310279e-79,None
herv_3180,0.0200504849346767,0.00167508558782772,3.58133041317534,4.72543806044009e-30,None
herv_6189,0.0451988380505059,0.0037770026741573,3.58097197468854,2.10643118998743e-140,None
herv_3083,0.0514141798030172,0.00429898595129775,3.58009800235519,3.50466761017427e-83,None
herv_3226,0.01953310484172,0.00163410545318352,3.57934829530997,7.71500845178727e-80,None
herv_470,0.151333305486215,0.0126770868632959,3.57743436738262,2.6305334226807e-120,None
herv_1507,0.00368726250885504,0.000308898779026217,3.577344056895,9.21368573759106e-49,None
herv_3156,0.0559465833537387,0.00469752161797753,3.5740783227538,1.10765409212101e-59,None
herv_1075,0.248349683578468,0.0208763887340824,3.57242883214109,1.37209753639034e-142,None
herv_6239,0.0202715081408612,0.00170415741947566,3.57232291104782,1.54155774081219e-88,None
herv_5855,0.0387308922028474,0.00325875260563858,3.57109299917174,2.03847286948191e-179,None
herv_1997,0.129863916904435,0.0109314281947566,3.57044682210783,3.63449289989032e-85,None
herv_1098,0.0457653044945141,0.00385961141529963,3.56772676973958,1.74728759241157e-215,None
herv_4059,0.0326902514824944,0.00276403340636704,3.56401351814971,2.12879670415635e-56,None
herv_2019,0.0490121211825124,0.00416447717977528,3.5569312940501,6.41860548608968e-48,None
